category,word
subject_synonym,He
subject_synonym,The man
subject_synonym,The guy
subject_synonym,John
subject_synonym,The engineer
subject_synonym,The programmer
subject_synonym,She
subject_synonym,The woman
subject_synonym,The lady
subject_synonym,Mary
subject_synonym,The teacher
subject_synonym,The artist
subject_synonym,I
subject_synonym,Me
subject_synonym,Myself
subject_synonym,They
subject_synonym,The friends
subject_synonym,The team
subject_synonym,The people
subject_synonym,My colleagues
subject_synonym,The student
subject_synonym,The learner
subject_synonym,The pupil
subject_synonym,The undergrad
subject_synonym,The scholar
subject_synonym,The athlete
subject_synonym,The runner
subject_synonym,The sportsman
subject_synonym,The sportswoman
subject_synonym,The competitor
subject_synonym,The chef
subject_synonym,The cook
subject_synonym,The culinary expert
subject_synonym,My friend
subject_synonym,My buddy
subject_synonym,My pal
subject_synonym,My mate
verb,be late
verb,buy
verb,eat
verb,go on
verb,forget
verb,win
verb,lose
verb,learn
verb,run
verb,move
verb,fall asleep
verb,cook
verb,break
verb,give
verb,read
object,for work
object,a new phone
object,the whole cake
object,vacation
object,the keys
object,the lottery
object,my wallet
object,the guitar
object,a marathon
object,to another country
object,during the meeting
object,dinner
object,my phone
object,flowers
object,the book
reason_adj,heavy
reason_adj,big
reason_adj,extreme
reason_adj,long-held
reason_adj,in a hurry
reason_adj,pure
reason_adj,too crowded
reason_adj,lifelong
reason_adj,months of hard
reason_adj,good
reason_adj,tired after a long
reason_adj,wanted to surprise
reason_adj,clumsy
reason_adj,someone's
reason_adj,so interesting
reason_noun,rain
reason_noun,sale
reason_noun,hunger
reason_noun,dream
reason_noun,rush
reason_noun,luck
reason_noun,street
reason_noun,love of music
reason_noun,training
reason_noun,job offer
reason_noun,day at work
reason_noun,family
reason_noun,accident
reason_noun,birthday
reason_noun,book
reason_prep,outside
reason_prep,in the shop
reason_prep,
reason_prep,for years
reason_prep,in the morning
reason_prep,
reason_prep,on the street
reason_prep,
reason_prep,
reason_prep,
reason_prep,
reason_prep,
reason_prep,
reason_prep,today
reason_prep,
